5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
4;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
9;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
9;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
9;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
9;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
9;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
11;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
4;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
10;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
4;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
4;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
10;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
9;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
3;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
4;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
9;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
5;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
9;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
35;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
88;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
88;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
27;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
43;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
32;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
53;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
23;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
67;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
101;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
186;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
266;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
166;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
132;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
65;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
174;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
180;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
49;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
130;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
19;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
62;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
61;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
44;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
20;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
191;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
56;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
73;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
115;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
92;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
182;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
162;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
51;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
70;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
101;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
39;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
88;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
196;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
22;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
120;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
47;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
85;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
34;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
20;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
29;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
83;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
82;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
161;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
166;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
397;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
88;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
35;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
66;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
58;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
160;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
54;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
19;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
105;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
35;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
49;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
26;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
120;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
79;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
96;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
48;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
13;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
35;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
187;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
317;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
17;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
56;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
163;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
46;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
238;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
80;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
41;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
140;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
52;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
18;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
109;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
56;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
233;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
92;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
41;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
151;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
108;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
136;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
85;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
108;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
67;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
75;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
315;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
29;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
46;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
121;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
448;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
52;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
68;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
117;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
65;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
91;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
137;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
22;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
173;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
271;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
71;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
115;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
97;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
52;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
122;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
120;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
50;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
85;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
108;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
89;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
56;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
64;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
12;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
185;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
71;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
323;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
33;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
41;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
92;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
68;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
147;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
130;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
49;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
25;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
18;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
127;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
65;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
224;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
129;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
68;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
90;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
65;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
40;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
38;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
36;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
75;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
29;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
52;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
50;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
59;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
227;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
63;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
179;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
74;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
51;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
180;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
392;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
236;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
29;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
287;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
31;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
126;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
43;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
129;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
26;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
48;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
70;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
47;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
160;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
63;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
185;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
66;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
86;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
120;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
70;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
216;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
181;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
119;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
19;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
154;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
63;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
75;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
47;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
31;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
51;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
267;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
28;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
139;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
153;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
41;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
30;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
306;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
64;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
113;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
98;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
58;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
133;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
80;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
93;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
157;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
43;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
195;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
101;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
298;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
61;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
51;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
37;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
38;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
94;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
67;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
18;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
183;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
114;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
40;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
41;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
29;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
63;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
34;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
347;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
48;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
100;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
70;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
133;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
134;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
99;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
97;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
48;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
62;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
36;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
124;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
165;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
85;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
113;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
247;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
92;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
120;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
15;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
61;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
112;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
352;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
56;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
71;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
18;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
104;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
106;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
105;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
69;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
17;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
58;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
135;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
68;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
39;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
102;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
85;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
158;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
6;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
89;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
11;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
6;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
6;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
10;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
